What is the Ref Name of person entering the data, Example:"T. Jesper Jacobsson"
What is the Add Lay Back Deposition Synthesis atmosphere Pressure Partial? Format of answer: [P1; P2 >> P3 >>  | P4 >> … | P5 |  ]
What is the Add Lay Back Deposition Synthesis atmosphere Relative humidity? Format of answer: [RH1 >> RH2 >>  | RH3 >> … | RH4 |  ]
What is the Add Lay Back Deposition Solvents? Format of answer: [Sol1; Sol2 >> Sol3;  >>  | Sol4 >> … | Sol5 |  ]
What is the Add Lay Back Deposition Solvents Mixing ratios? Format of answer: [V1; V2 >> V3; V4 >>  | V5; V6 >> … | 1 |  ]
What is the Add Lay Back Deposition Solvents Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ]
What is the Add Lay Back Deposition Solvents Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ]
What is the Add Lay Back Deposition Reaction solutions Compounds? Format of answer: [C1; C2 >> C3; … >> … | C4; C5 | C6 | ]
What is the Add Lay Back Deposition Reaction solutions Compounds Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ]
What is the Add Lay Back Deposition Reaction solutions Compounds Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ]
What is the Add Lay Back Deposition Reaction solutions Concentrations? Format of answer: [c1 M; c2 mol/dm3 >> c3 mg/ml; … >>  | c4 wt%; c5 vol% | c6 ppm |]
What is the Add Lay Back Deposition Reaction solutions Volumes? Format of answer: [V1 >> V2 >>  | V3 >> … | V4 |  ]
What is the Add Lay Back Deposition Reaction solutions Age? Format of answer: [A1 >> A2 >>  | A3 >> … | A4 |  ]
What is the Add Lay Back Deposition Reaction solutions Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ]
What is the Add Lay Back Deposition Substrate Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ]
What is the Add Lay Back Deposition Thermal annealing Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ]
What is the Add Lay Back Deposition Thermal annealing Time? Format of answer: [t1; t2 >> t3;  >>  | t4 >> … | t5 |  ]
What is the Add Lay Back Deposition Thermal annealing Atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ]
What is the Add Lay Back Storage Time until next deposition step? Format of answer: [h]
What is the Add Lay Back Storage Atmosphere? Format of answer: [Gas1; Gas2; ]
What is the Add Lay Back Storage Relative humidity? Format of answer: [%]]
What is the Add Lay Back Surface treatment before next deposition step
What is the Encapsulation? Format of answer: [TRUE/FALSE], Example:"True"
What is the Encapsulation Stack sequence? Format of answer: [Mat1; Mat2;  | Mat3;  | Mat4 | ], Example:"Cover glass"
What is the Encapsulation Edge sealing materials? Format of answer: [Mat1; Mat2;  ], Example:"UV-curable epoxy"
What is the Encapsulation Atmosphere for encapsulation? Format of answer: [Gas1; Gas2; ], Example:"Air"
What is the Encapsulation Water vapour transmission rate? Format of answer: [g/m^2/d]
What is the Encapsulation Oxygen transmission rate? Format of answer: [cm^3/m^2/d]
What is the JV Measured? Format of answer: [TRUE/FALSE], Example:"False"
What is the JV Average over N number of cells, Example:"True"
What is the JV Certified values? Format of answer: [TRUE/FALSE], Example:"False"
What is the JV Certification Institute
What is the JV Storage Age of cell? Format of answer: [days], Example:"1.2"
What is the JV Storage Atmosphere? Format of answer: [Gas1; Gas2; ], Example:"Air"
What is the JV Storage Relative humidity? Format of answer: [%], Example:"10"
What is the JV Test Atmosphere? Format of answer: [Gas1; Gas2; ], Example:"Air"
What is the JV Test Relative humidity? Format of answer: [%], Example:"10"
What is the JV Test Temperature? Format of answer: [deg C], Example:"25"
What is the JV Light source Type? Format of answer: [Dark/White LED/Metal halide/ ], Example:"Solar simulator"
What is the JV Light source Brand name, Example:"Newport model 91192"
What is the JV Light source Simulator class, Example:"ABB"
What is the JV Light Intensity? Format of answer: [mW/cm^2], Example:"100"
What is the JV Light Spectra? Format of answer: [AM 15/UVA/UVB/Monochromatic/ …], Example:"AM 1.5"
What is the JV Light Wavelength range? Format of answer: [lambda min; lambda max] o], Example:"250; 1200"
What is the JV Light Illumination direction? Format of answer: [Substrate/superstrate], Example:"Substrate"
What is the JV Light Masked cell? Format of answer: [TRUE/FALSE], Example:"False"
What is the JV Light Mask area? Format of answer: [cm^2], Example:"0.16"
What is the JV Scan Speed? Format of answer: [mV/s], Example:"20"
What is the JV Scan Delay time? Format of answer: [ms]
What is the JV Scan Integration time? Format of answer: [ms]
What is the JV Scan Voltage step? Format of answer: [mV], Example:"5"
What is the JV Preconditioning Protocol? Format of answer: [none/Light soaking/Potential biasing/ …], Example:"Light soaking; Potential biasing"
What is the JV Preconditioning Time? Format of answer: [s], Example:"60"
What is the JV Preconditioning Potential? Format of answer: [V], Example:"1.25"
What is the JV Preconditioning Light intensity? Format of answer: [mW/cm^2], Example:"100"
What is the JV Reverse scan Voc? Format of answer: [V], Example:"1.12"
What is the JV Reverse scan Jsc? Format of answer: [mA/cm^2], Example:"22.13"
What is the JV Reverse scan FF? Format of answer: [number between 0 and 1], Example:"0.72"
What is the JV Reverse scan PCE? Format of answer: [%]], Example:"17.5"
What is the JV Reverse scan Vmp? Format of answer: [V], Example:"0.95"
What is the JV Reverse scan Jmp? Format of answer: [mA/cm^2], Example:"18.4"
What is the JV Reverse scan Series resistance? Format of answer: [ohmcm^2]
What is the JV Reverse scan Shunt resistance? Format of answer: [ohmcm^2]
What is the JV Forward scan Voc? Format of answer: [V], Example:"1.12"
What is the JV Forward scan Jsc? Format of answer: [mA/cm^2], Example:"22.13"
What is the JV Forward scan FF? Format of answer: [number between 0 and 1], Example:"0.72"
What is the JV Forward scan PCE? Format of answer: [%]], Example:"17.5"
What is the JV Forward scan Vmp? Format of answer: [V], Example:"0.95"
What is the JV Forward scan Jmp? Format of answer: [mA/cm^2], Example:"18.4"
What is the JV Forward scan Series resistance? Format of answer: [ohmcm^2]
What is the JV Forward scan Shunt resistance? Format of answer: [ohmcm^2]
What is the JV Link Raw data, Example:"www.testsite…"
What is the Stabilised performance Measured? Format of answer: [TRUE/FALSE], Example:"True"
What is the Stabilised performance Procedure? Format of answer: [MPPT/Constant potential/Constant current/ …], Example:"Constant potential"
What is the Stabilised performance Procedure Metrics? Format of answer: [Potential in V, Current in mA/cm^2, ], Example:"0.95"
What is the Stabilised performance Measurement time? Format of answer: [min], Example:"15"
What is the Stabilised performance PCE? Format of answer: [%], Example:"17.5"
What is the Stabilised performance Vmp? Format of answer: [V], Example:"0.95"
What is the Stabilised performance Jmp? Format of answer: [mA/cm^2], Example:"18.4"
What is the Stabilised performance Link Raw data, Example:"www.testsite…"
What is the EQE Measured? Format of answer: [TRUE/FALSE], Example:"True"
What is the EQE Light bias? Format of answer: [mW/cm^2], Example:"50"
What is the EQE Integrated Jsc? Format of answer: [mA/cm^2], Example:"22.05"
What is the EQE Link Raw data, Example:"www.testsite…"
What is the Stability Measured? Format of answer: [TRUE/FALSE], Example:"True"
What is the Stability Protocol? Format of answer: [ISOS x/IEC x/ …]], Example:"ISOS-L-3"
What is the Stability Average over N number of cells, Example:"True"
What is the Stability Light source Type? Format of answer: [Dark/White LED/Metal halide/ ], Example:"Solar simulator"
What is the Stability Light source Brand name, Example:"Newport model 91192"
What is the Stability Light source Simulator class, Example:"ABB"
What is the Stability Light Intensity? Format of answer: [mW/cm^2], Example:"100"
What is the Stability Light Spectra? Format of answer: [AM 15/UVA/UVB/Monochromatic/ …], Example:"AM 1.5"
What is the Stability Light Wavelength range? Format of answer: [lambda min; lambda max] o], Example:"280; 1200"
What is the Stability Light Illumination direction? Format of answer: [Substrate/superstrate], Example:"Substrate"
What is the Stability Light Load condition? Format of answer: [Continuous/Cycled/Day-nigh/ …], Example:"Constant"
What is the Stability Light Cycling times? Format of answer: [time in low light; time in high light]
What is the Stability Light UV filter? Format of answer: [TRUE/FALSE], Example:"False"
What is the Stability Potential bias Load condition? Format of answer: [Open circuit/MPPT/Constant potential/ …], Example:"MPPT"
What is the Stability Potential bias Range? Format of answer: [Umin; Umax] o], Example:"0.87; 0.93"
What is the Stability Potential bias Passive resistance? Format of answer: [ohm]
What is the Stability Temperature Load condition? Format of answer: [Constant/Uncontrolled/Cycled/ ], Example:"Constant"
What is the Stability Temperature Range? Format of answer: [Tmin; Tmax] o], Example:"35"
What is the Stability Temperature Cycling times? Format of answer: [t at Tmin; t at Tmax]
What is the Stability Temperature Ramp speed? Format of answer: [deg C/min]
What is the Stability Atmosphere? Format of answer: [Gas1; Gas2; ], Example:"Air. Desiccator"
What is the Stability Atmosphere Oxygen concentration? Format of answer: [%], Example:"21"
What is the Stability Relative humidity Load conditions? Format of answer: [Ambient/Controlled/Cycled/ …], Example:"Ambient"
What is the Stability Relative humidity Range? Format of answer: [RHmin; RHmax], Example:"35; 55"
What is the Stability Relative humidity Average value? Format of answer: [%], Example:"45"
What is the Stability Time Total exposure? Format of answer: [h], Example:"1000"
What is the Stability Periodic JV measurements? Format of answer: [TRUE/FALSE], Example:"True"
What is the Stability Periodic JV measurements Time between measurements? Format of answer: [h]
What is the Stability PCE Initial value? Format of answer: [%], Example:"17.5"
What is the Stability PCE Burn in observed? Format of answer: [TRUE/FALSE], Example:"True"
What is the Stability PCE End of experiment? Format of answer: [% of initial PCE], Example:"75"
What is the Stability PCE T95? Format of answer: [h], Example:"10"
What is the Stability PCE Ts95? Format of answer: [h], Example:"200"
What is the Stability PCE T80? Format of answer: [h], Example:"600"
What is the Stability PCE Ts80? Format of answer: [h], Example:"800"
What is the Stability PCE Te80? Format of answer: [h]
What is the Stability PCE Tse80? Format of answer: [h]
What is the Stability PCE After 1000 h? Format of answer: [% of initial PCE], Example:"75"
What is the Stability Lifetime energy yield? Format of answer: [kWh/m^2]
What is the Stability Flexible cell Number of bending cycles
What is the Stability Flexible cell Bending radius? Format of answer: [degrees]
What is the Stability Flexible cell PCE Initial value? Format of answer: [%]
What is the Stability Flexible cell PCE End of experiment? Format of answer: [% of initial PCE]
What is the Stability Link Raw data for stability trace, Example:"www.testsite…"
What is the Outdoor Tested? Format of answer: [TRUE/FALSE], Example:"True"
What is the Outdoor Protocol? Format of answer: [ISOS x/IEC x/ …]], Example:"ISOS-O-1"
What is the Outdoor Average over N number of cells, Example:"True"
What is the Outdoor Location Country? Format of answer: [Country], Example:"Sweden"
What is the Outdoor Location City? Format of answer: [City], Example:"Uppsala"
What is the Outdoor Location Coordinates? Format of answer: [Latitude; Longitude], Example:"59.839116; 17.647979"
What is the Outdoor Location Climate zone? Format of answer: [Tropical/Subtropical/Temperate/Cold], Example:"Teperate"
What is the Outdoor Installation Tilt? Format of answer: [degrees], Example:"45"
What is the Outdoor Installation Cardinal direction? Format of answer: [degrees], Example:"180"
What is the Outdoor Installation Number of solar tracking axis? Format of answer: [0/1/2], Example:"0"
What is the Outdoor Time Season? Format of answer: [Winter/Summer/ …], Example:"Autumn; Spring; Summer"
What is the Outdoor Time Start? Format of answer: [year:mm:dd:hh:mm], Example:"2019:03:01:14:00"
What is the Outdoor Time End? Format of answer: [year:mm:dd:hh:mm], Example:"2019:08:30:15:00"
What is the Outdoor Time Total exposure? Format of answer: [days], Example:"180"
What is the Outdoor Potential bias Load condition? Format of answer: [Open circuit/MPPT/Constant potential/ …], Example:"MPPT"
What is the Outdoor Potential bias Range? Format of answer: [Umin; Umax] o], Example:"0; 0.97"
What is the Outdoor Potential bias Passive resistance? Format of answer: [ohm]
What is the Outdoor Temperature Load condition? Format of answer: [Constant/Uncontrolled/Cycled/ ], Example:"Constant"
What is the Outdoor Temperature Range? Format of answer: [Tmin; Tmax] o], Example:"-5;31"
What is the Outdoor Temperature Tmodule? Format of answer: [degrees C]
What is the Outdoor Periodic JV measurements? Format of answer: [TRUE/FALSE], Example:"True"
What is the Outdoor Periodic JV measurements Time between measurements? Format of answer: [h], Example:"1"
What is the Outdoor PCE Initial value? Format of answer: [%], Example:"17.5"
What is the Outdoor PCE Burn in observed? Format of answer: [TRUE/FALSE], Example:"True"
What is the Outdoor PCE End of experiment? Format of answer: [% of initial PCE], Example:"75"
What is the Outdoor PCE T95? Format of answer: [h], Example:"10"
What is the Outdoor PCE Ts95? Format of answer: [h], Example:"200"
What is the Outdoor PCE T80? Format of answer: [h], Example:"600"
What is the Outdoor PCE Ts80? Format of answer: [h], Example:"800"
What is the Outdoor PCE Te80? Format of answer: [h]
What is the Outdoor PCE Tse80? Format of answer: [h]
What is the Outdoor PCE After 1000 h? Format of answer: [% of initial PCE], Example:"75"
What is the Outdoor Power generated? Format of answer: [kWh/year/m^2]
What is the Outdoor Link Raw data for outdoor trace, Example:"www.testsite…"
What is the Outdoor Detaild weather data available? Format of answer: [TRUE/FALSE], Example:"True"
What is the Outdoor Link Detailed weather data, Example:"www.testsite…"
What is the Outdoor Spectral data available? Format of answer: [TRUE/FALSE], Example:"True"
What is the Outdoor Link Spectral data, Example:"www.testsite…"
What is the Outdoor Irradiance measured? Format of answer: [TRUE/FALSE], Example:"True"
What is the Outdoor Link Irradiance data , Example:"www.testsite…"
