qid,protocol_question,field_name,gpt_question,example_answer
115,Perovskite. Deposition. Thermal annealing. Relative humidity [RH1 >> RH2 >> ... | RH3 >> … | RH4 | ... ] [%],,"What is the Perovskite Deposition Thermal annealing Relative humidity? Format of answer: [RH1 >> RH2 >>  | RH3 >> … | RH4 |  ], Example:""0""",False
116,Perovskite. Deposition. Thermal annealing. Pressure [P.1 >> P.2 >> ... | P.3 >> … | P.4 | ... ] [atm/Torr/Pa/bar/mmHg],,"What is the Perovskite Deposition Thermal annealing Pressure? Format of answer: [P1 >> P2 >>  | P3 >> … | P4 |  ], Example:""1 atm""",1 atm
117,Perovskite. Deposition. Solvent annealing [TRUE/FALSE],Perovskite_deposition_solvent_annealing,"What is the Perovskite Deposition Solvent annealing? Format of answer: [TRUE/FALSE], Example:""True""",True
118,Perovskite. Deposition. Solvent annealing. Time vs thermal annealing [Before/Under/After/...],,"What is the Perovskite Deposition Solvent annealing Time vs thermal annealing? Format of answer: [Before/Under/After/], Example:""Under""",Under
119,Perovskite. Deposition. Solvent annealing. Solvent atmosphere [Gas1; Gas2 >> Gas3; ... >> ... | Gas4 >> … | Gas5 | ... ],,"What is the Perovskite Deposition Solvent annealing Solvent atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ], Example:""Air; O2 | Air""",Air; O2 | Air
120,Perovskite. Deposition. Solvent annealing. Time [t1; t2 >> t3; ... >> ... | t4 >> … | t5 | ... ] [min],,"What is the Perovskite Deposition Solvent annealing Time? Format of answer: [t1; t2 >> t3;  >>  | t4 >> … | t5 |  ], Example:""10""",10
121,Perovskite. Deposition. Solvent annealing. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,"What is the Perovskite Deposition Solvent annealing Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:""100""",100
122,Perovskite. Deposition. After treatment of formed perovskite,,"What is the Perovskite Deposition After treatment of formed perovskite, Example:""none""",none
123,Perovskite. Deposition. After treatment of formed perovskite. Metrics,,What is the Perovskite Deposition After treatment of formed perovskite Metrics,
124,Perovskite. Storage. Time until next deposition step [h],,"What is the Perovskite Storage Time until next deposition step? Format of answer: [h], Example:""1""",True
125,Perovskite. Storage. Atmosphere [Gas1; Gas2; ...],,"What is the Perovskite Storage Atmosphere? Format of answer: [Gas1; Gas2; ], Example:""N2""",N2
126,Perovskite. Storage. Relative humidity [%] ,,"What is the Perovskite Storage Relative humidity? Format of answer: [%]], Example:""0""",False
127,Perovskite. Surface treatment before next deposition step,,"What is the Perovskite Surface treatment before next deposition step, Example:""None""",None
128,HTL. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...],HTL_stack_sequence,"What is the HTL Stack sequence? Format of answer: [Mat1; Mat2;  | Mat3;  | Mat4 | ], Example:""Spiro-MeOTAD""",Spiro-MeOTAD
129,HTL. Thickness [Th.1 | Th.2 | … | Th.n ] [nm],,"What is the HTL Thickness? Format of answer: [Th1 | Th2 | … | Thn ], Example:""200""",200
130,HTL. Additives. Compounds [Addt.1; Addt.2; ... | Addt.3; … | Addt.4 | ... ],,"What is the HTL Additives Compounds? Format of answer: [Addt1; Addt2;  | Addt3; … | Addt4 |  ], Example:""FK209; Li-TFSI; TBP""",FK209; Li-TFSI; TBP
131,HTL. Additives. Concentrations [c1 M; c2 wt%; … | c3 vol%; ... | c4 mg/ml | ...],,"What is the HTL Additives Concentrations? Format of answer: [c1 M; c2 wt%; … | c3 vol%;  | c4 mg/ml | ], Example:""2.45 mM; 40 mM; 270 mM""",2.45 mM; 40 mM; 270 mM
132,HTL. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> … | Proc. 4 | ... ],,"What is the HTL Deposition Procedure? Format of answer: [Proc 1 >> Proc 2 >>  | Proc 3 >> … | Proc 4 |  ], Example:""Spin-coating""",Spin-coating
133,HTL. Deposition. Aggregation state of reactants (Liquid/Gas/Solid) [Agr. 1 >> Agr. 2 >> ... | Agr. 3 >> … | Agr. 4 | ... ],,"What is the HTL Deposition Aggregation state of reactants (Liquid/Gas/Solid)? Format of answer: [Agr 1 >> Agr 2 >>  | Agr 3 >> … | Agr 4 |  ], Example:""Liquid""",Liquid
134,HTL. Deposition. Synthesis atmosphere [Gas1; Gas2 >> Gas3; ... >> ... | Gas4 >> … | Gas5 | ... ],,"What is the HTL Deposition Synthesis atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ], Example:""N2""",N2
135,HTL. Deposition. Synthesis atmosphere. Pressure. Total [P.1 >> P.2 >> ... | P.3 >> … | P.4 | ... ] [atm/Torr/Pa/bar/mmHg],,"What is the HTL Deposition Synthesis atmosphere Pressure Total? Format of answer: [P1 >> P2 >>  | P3 >> … | P4 |  ], Example:""1 atm""",1 atm
136,HTL. Deposition. Synthesis atmosphere. Pressure. Partial [P.1; P.2 >> P.3 >> ... | P.4 >> … | P.5 | ... ] [atm/Torr/Pa/bar/mmHg],,"What is the HTL Deposition Synthesis atmosphere Pressure Partial? Format of answer: [P1; P2 >> P3 >>  | P4 >> … | P5 |  ], Example:""1 atm""",1 atm
137,HTL. Deposition. Synthesis atmosphere. Relative humidity [RH1 >> RH2 >> ... | RH3 >> … | RH4 | ... ] [%],,"What is the HTL Deposition Synthesis atmosphere Relative humidity? Format of answer: [RH1 >> RH2 >>  | RH3 >> … | RH4 |  ], Example:""0""",False
138,HTL. Deposition. Solvents [Sol.1; Sol.2 >> Sol.3; ... >> ... | Sol.4 >> … | Sol.5 | ... ],,"What is the HTL Deposition Solvents? Format of answer: [Sol1; Sol2 >> Sol3;  >>  | Sol4 >> … | Sol5 |  ], Example:""Chlorobenzene""",Chlorobenzene
139,HTL. Deposition. Solvents. Mixing ratios [V1; V2 >> V3; V4 >> ... | V5; V6 >> … | 1 | ... ],,"What is the HTL Deposition Solvents Mixing ratios? Format of answer: [V1; V2 >> V3; V4 >>  | V5; V6 >> … | 1 |  ], Example:""1""",True
140,HTL. Deposition. Solvents. Supplier [Sup.1; Sup.2 >> Sup.3; ... >> ... | Sup.4 >> … | Sup.5 | ... ],,"What is the HTL Deposition Solvents Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ], Example:""Sigma Aldrich""",Sigma Aldrich
141,HTL. Deposition. Solvents. Purity [Pur.1; Pur.2 >> Pur.3; ... >> ... | Pur.4 >> … | Pur.5 | ... ],,"What is the HTL Deposition Solvents Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ], Example:""Pro analysis""",Pro analysis
142,HTL. Deposition. Reaction solutions. Compounds [C1; C2 >> C3; … >> … | C4; C5 | C6 | ...],,"What is the HTL Deposition Reaction solutions Compounds? Format of answer: [C1; C2 >> C3; … >> … | C4; C5 | C6 | ], Example:""FK209; Li-TFSI; Spiro-MeOTAD; TBP""",FK209; Li-TFSI; Spiro-MeOTAD; TBP
143,HTL. Deposition. Reaction solutions. Compounds. Supplier [Sup.1; Sup.2 >> Sup.3; ... >> ... | Sup.4 >> … | Sup.5 | ... ],,"What is the HTL Deposition Reaction solutions Compounds Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ], Example:""Dysole; Sigma Aldrich; Dyenamo; Sigma Aldrich""",Dysole; Sigma Aldrich; Dyenamo; Sigma Aldrich
144,HTL. Deposition. Reaction solutions. Compounds. Purity [Pur.1; Pur.2 >> Pur.3; ... >> ... | Pur.4 >> … | Pur.5 | ... ],,"What is the HTL Deposition Reaction solutions Compounds Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ], Example:""99.9; Pro analysis; Tecnical; Puris""",99.9; Pro analysis; Tecnical; Puris
145,HTL. Deposition. Reaction solutions. Concentrations [c1 M; c2 mol/dm3 >> c3 mg/ml; … >> ... | c4 wt%; c5 vol% | c6 ppm |...],,"What is the HTL Deposition Reaction solutions Concentrations? Format of answer: [c1 M; c2 mol/dm3 >> c3 mg/ml; … >>  | c4 wt%; c5 vol% | c6 ppm |], Example:""2.45 mM; 40 mM; 81.6 mM; 270 mM""",2.45 mM; 40 mM; 81.6 mM; 270 mM
146,HTL. Deposition. Reaction solutions. Volumes [V1 >> V2 >> ... | V3 >> … | V4 | ... ] [ml],,"What is the HTL Deposition Reaction solutions Volumes? Format of answer: [V1 >> V2 >>  | V3 >> … | V4 |  ], Example:""0.05""",0.05
147,HTL. Deposition. Reaction solutions. Age [A1 >> A2 >> ... | A3 >> … | A4 | ... ] [h],,"What is the HTL Deposition Reaction solutions Age? Format of answer: [A1 >> A2 >>  | A3 >> … | A4 |  ], Example:""3""",3
148,HTL. Deposition. Reaction solutions. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,"What is the HTL Deposition Reaction solutions Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:""25""",25
149,HTL. Deposition. Substrate. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,"What is the HTL Deposition Substrate Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:""25""",25
150,HTL. Deposition. Thermal annealing. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,"What is the HTL Deposition Thermal annealing Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:""25""",25
151,HTL. Deposition. Thermal annealing. Time [t1; t2 >> t3; ... >> ... | t4 >> … | t5 | ... ] [min],,"What is the HTL Deposition Thermal annealing Time? Format of answer: [t1; t2 >> t3;  >>  | t4 >> … | t5 |  ], Example:""0""",False
152,HTL. Deposition. Thermal annealing. Atmosphere [Gas1; Gas2 >> Gas3; ... >> ... | Gas4 >> … | Gas5 | ... ],,"What is the HTL Deposition Thermal annealing Atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ], Example:""N2""",N2
153,HTL. Storage. Time until next deposition step [h],,"What is the HTL Storage Time until next deposition step? Format of answer: [h], Example:""24""",24
154,HTL. Storage. Atmosphere [Gas1; Gas2; ...],,"What is the HTL Storage Atmosphere? Format of answer: [Gas1; Gas2; ], Example:""Air""",Air
155,HTL. Storage. Relative humidity [%] ,,"What is the HTL Storage Relative humidity? Format of answer: [%]], Example:""10""",10
156,HTL. Surface treatment before next deposition step,,"What is the HTL Surface treatment before next deposition step, Example:""none""",none
157,Backcontact. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...],Backcontact_stack_sequence,"What is the Backcontact Stack sequence? Format of answer: [Mat1; Mat2;  | Mat3;  | Mat4 | ], Example:""Au""",Au
158,Backcontact. Thickness. List [Th.1 | Th.2 | … | Th.n ] [nm],,"What is the Backcontact Thickness List? Format of answer: [Th1 | Th2 | … | Thn ], Example:""80""",80
159,Backcontact. Additives. Compounds [Addt.1; Addt.2; ... | Addt.3; … | Addt.4 | ... ],,"What is the Backcontact Additives Compounds? Format of answer: [Addt1; Addt2;  | Addt3; … | Addt4 |  ], Example:""Undoped""",Undoped
160,Backcontact. Additives. Concentrations [c1 M; c2 wt%; … | c3 vol%; ... | c4 mg/ml | ...],,What is the Backcontact Additives Concentrations? Format of answer: [c1 M; c2 wt%; … | c3 vol%;  | c4 mg/ml | ],
161,Backcontact. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> … | Proc. 4 | ... ],Backcontact_deposition_procedure,"What is the Backcontact Deposition Procedure? Format of answer: [Proc 1 >> Proc 2 >>  | Proc 3 >> … | Proc 4 |  ], Example:""Evaporation""",Evaporation
162,Backcontact. Deposition. Aggregation state of reactants (Liquid/Gas/Solid) [Agr. 1 >> Agr. 2 >> ... | Agr. 3 >> … | Agr. 4 | ... ],,"What is the Backcontact Deposition Aggregation state of reactants (Liquid/Gas/Solid)? Format of answer: [Agr 1 >> Agr 2 >>  | Agr 3 >> … | Agr 4 |  ], Example:""Gas""",Gas
163,Backcontact. Deposition. Synthesis atmosphere [Gas1; Gas2 >> Gas3; ... >> ... | Gas4 >> … | Gas5 | ... ],,"What is the Backcontact Deposition Synthesis atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ], Example:""Vacuum""",Vacuum
164,Backcontact. Deposition. Synthesis atmosphere. Pressure. Total [P.1 >> P.2 >> ... | P.3 >> … | P.4 | ... ] [atm/Torr/Pa/bar/mmHg],,"What is the Backcontact Deposition Synthesis atmosphere Pressure Total? Format of answer: [P1 >> P2 >>  | P3 >> … | P4 |  ], Example:""0.00003 mbar""",0.00003 mbar
165,Backcontact. Deposition. Synthesis atmosphere. Pressure. Partial [P.1; P.2 >> P.3 >> ... | P.4 >> … | P.5 | ... ] [atm/Torr/Pa/bar/mmHg],,"What is the Backcontact Deposition Synthesis atmosphere Pressure Partial? Format of answer: [P1; P2 >> P3 >>  | P4 >> … | P5 |  ], Example:""0.00003 mbar""",0.00003 mbar
166,Backcontact. Deposition. Synthesis atmosphere. Relative humidity [RH1 >> RH2 >> ... | RH3 >> … | RH4 | ... ] [%],,"What is the Backcontact Deposition Synthesis atmosphere Relative humidity? Format of answer: [RH1 >> RH2 >>  | RH3 >> … | RH4 |  ], Example:""0""",False
167,Backcontact. Deposition. Solvents [Sol.1; Sol.2 >> Sol.3; ... >> ... | Sol.4 >> … | Sol.5 | ... ],,"What is the Backcontact Deposition Solvents? Format of answer: [Sol1; Sol2 >> Sol3;  >>  | Sol4 >> … | Sol5 |  ], Example:""none""",none
168,Backcontact. Deposition. Solvents. Mixing ratios [V1; V2 >> V3; V4 >> ... | V5; V6 >> … | 1 | ... ],,"What is the Backcontact Deposition Solvents Mixing ratios? Format of answer: [V1; V2 >> V3; V4 >>  | V5; V6 >> … | 1 |  ], Example:""1""",True
169,Backcontact. Deposition. Solvents. Supplier [Sup.1; Sup.2 >> Sup.3; ... >> ... | Sup.4 >> … | Sup.5 | ... ],,"What is the Backcontact Deposition Solvents Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ], Example:""none""",none
170,Backcontact. Deposition. Solvents. Purity [Pur.1; Pur.2 >> Pur.3; ... >> ... | Pur.4 >> … | Pur.5 | ... ],,"What is the Backcontact Deposition Solvents Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ], Example:""none""",none
171,Backcontact. Deposition. Reaction solutions. Compounds [C1; C2 >> C3; … >> … | C4; C5 | C6 | ...],,"What is the Backcontact Deposition Reaction solutions Compounds? Format of answer: [C1; C2 >> C3; … >> … | C4; C5 | C6 | ], Example:""Au""",Au
172,Backcontact. Deposition. Reaction solutions. Compounds. Supplier [Sup.1; Sup.2 >> Sup.3; ... >> ... | Sup.4 >> … | Sup.5 | ... ],,"What is the Backcontact Deposition Reaction solutions Compounds Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ], Example:""Sigma Aldrich""",Sigma Aldrich
173,Backcontact. Deposition. Reaction solutions. Compounds. Purity [Pur.1; Pur.2 >> Pur.3; ... >> ... | Pur.4 >> … | Pur.5 | ... ],,"What is the Backcontact Deposition Reaction solutions Compounds Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ], Example:""99.99""",99.99
174,Backcontact. Deposition. Reaction solutions. Concentrations [c1 M; c2 mol/dm3 >> c3 mg/ml; … >> ... | c4 wt%; c5 vol% | c6 ppm |...],,What is the Backcontact Deposition Reaction solutions Concentrations? Format of answer: [c1 M; c2 mol/dm3 >> c3 mg/ml; … >>  | c4 wt%; c5 vol% | c6 ppm |],
175,Backcontact. Deposition. Reaction solutions. Volumes [V1 >> V2 >> ... | V3 >> … | V4 | ... ] [ml],,What is the Backcontact Deposition Reaction solutions Volumes? Format of answer: [V1 >> V2 >>  | V3 >> … | V4 |  ],
176,Backcontact. Deposition. Reaction solutions. Age [A1 >> A2 >> ... | A3 >> … | A4 | ... ] [h],,What is the Backcontact Deposition Reaction solutions Age? Format of answer: [A1 >> A2 >>  | A3 >> … | A4 |  ],
177,Backcontact. Deposition. Reaction solutions. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,What is the Backcontact Deposition Reaction solutions Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ],
178,Backcontact. Deposition. Substrate. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,"What is the Backcontact Deposition Substrate Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:""25""",25
179,Backcontact. Deposition. Thermal annealing. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,"What is the Backcontact Deposition Thermal annealing Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:""25""",25
180,Backcontact. Deposition. Thermal annealing. Time [t1; t2 >> t3; ... >> ... | t4 >> … | t5 | ... ] [min],,"What is the Backcontact Deposition Thermal annealing Time? Format of answer: [t1; t2 >> t3;  >>  | t4 >> … | t5 |  ], Example:""0""",False
181,Backcontact. Deposition. Thermal annealing. Atmosphere [Gas1; Gas2 >> Gas3; ... >> ... | Gas4 >> … | Gas5 | ... ],,"What is the Backcontact Deposition Thermal annealing Atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ], Example:""Air""",Air
182,Backcontact. Storage. Time until next deposition step [h],,"What is the Backcontact Storage Time until next deposition step? Format of answer: [h], Example:""24""",24
183,Backcontact. Storage. Atmosphere [Gas1; Gas2; ...],,"What is the Backcontact Storage Atmosphere? Format of answer: [Gas1; Gas2; ], Example:""Air""",Air
184,Backcontact. Storage. Relative humidity [%] ,,"What is the Backcontact Storage Relative humidity? Format of answer: [%]], Example:""10""",10
185,Backcontact. Surface treatment before next deposition step,,"What is the Backcontact Surface treatment before next deposition step, Example:""none""",none
186,Add. Lay. Front [TRUE/FALSE],Add_lay_front,"What is the Add Lay Front? Format of answer: [TRUE/FALSE], Example:""True""",True
187,Add. Lay. Front. Function [A.R.C./Upconversion/Down conversion/Back reflection/ ...],,"What is the Add Lay Front Function? Format of answer: [ARC/Upconversion/Down conversion/Back reflection/ ], Example:""A.R.C.""",A.R.C.
188,Add. Lay. Front. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...],,"What is the Add Lay Front Stack sequence? Format of answer: [Mat1; Mat2;  | Mat3;  | Mat4 | ], Example:""MgF2""",MgF2
189,Add. Lay. Front. Thickness. List [Th.1 | Th.2 | … | Th.n ] [nm],,"What is the Add Lay Front Thickness List? Format of answer: [Th1 | Th2 | … | Thn ], Example:""80""",80
190,Add. Lay. Front. Additives. Compounds [Addt.1; Addt.2; ... | Addt.3; … | Addt.4 | ... ],,What is the Add Lay Front Additives Compounds? Format of answer: [Addt1; Addt2;  | Addt3; … | Addt4 |  ],
191,Add. Lay. Front. Additives. Concentrations [c1 M; c2 wt%; … | c3 vol%; ... | c4 mg/ml | ...],,What is the Add Lay Front Additives Concentrations? Format of answer: [c1 M; c2 wt%; … | c3 vol%;  | c4 mg/ml | ],
192,Add. Lay. Front. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> … | Proc. 4 | ... ],,What is the Add Lay Front Deposition Procedure? Format of answer: [Proc 1 >> Proc 2 >>  | Proc 3 >> … | Proc 4 |  ],
193,Add. Lay. Front. Deposition. Aggregation state of reactants (Liquid/Gas/Solid) [Agr. 1 >> Agr. 2 >> ... | Agr. 3 >> … | Agr. 4 | ... ],,What is the Add Lay Front Deposition Aggregation state of reactants (Liquid/Gas/Solid)? Format of answer: [Agr 1 >> Agr 2 >>  | Agr 3 >> … | Agr 4 |  ],
194,Add. Lay. Front. Deposition. Synthesis atmosphere [Gas1; Gas2 >> Gas3; ... >> ... | Gas4 >> … | Gas5 | ... ],,What is the Add Lay Front Deposition Synthesis atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ],
195,Add. Lay. Front. Deposition. Synthesis atmosphere. Pressure. Total [P.1 >> P.2 >> ... | P.3 >> … | P.4 | ... ] [atm/Torr/Pa/bar/mmHg],,What is the Add Lay Front Deposition Synthesis atmosphere Pressure Total? Format of answer: [P1 >> P2 >>  | P3 >> … | P4 |  ],
196,Add. Lay. Front. Deposition. Synthesis atmosphere. Pressure. Partial [P.1; P.2 >> P.3 >> ... | P.4 >> … | P.5 | ... ] [atm/Torr/Pa/bar/mmHg],,What is the Add Lay Front Deposition Synthesis atmosphere Pressure Partial? Format of answer: [P1; P2 >> P3 >>  | P4 >> … | P5 |  ],
197,Add. Lay. Front. Deposition. Synthesis atmosphere. Relative humidity [RH1 >> RH2 >> ... | RH3 >> … | RH4 | ... ] [%],,What is the Add Lay Front Deposition Synthesis atmosphere Relative humidity? Format of answer: [RH1 >> RH2 >>  | RH3 >> … | RH4 |  ],
198,Add. Lay. Front. Deposition. Solvents [Sol.1; Sol.2 >> Sol.3; ... >> ... | Sol.4 >> … | Sol.5 | ... ],,What is the Add Lay Front Deposition Solvents? Format of answer: [Sol1; Sol2 >> Sol3;  >>  | Sol4 >> … | Sol5 |  ],
199,Add. Lay. Front. Deposition. Solvents. Mixing ratios [V1; V2 >> V3; V4 >> ... | V5; V6 >> … | 1 | ... ],,What is the Add Lay Front Deposition Solvents Mixing ratios? Format of answer: [V1; V2 >> V3; V4 >>  | V5; V6 >> … | 1 |  ],
200,Add. Lay. Front. Deposition. Solvents. Supplier [Sup.1; Sup.2 >> Sup.3; ... >> ... | Sup.4 >> … | Sup.5 | ... ],,What is the Add Lay Front Deposition Solvents Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ],
201,Add. Lay. Front. Deposition. Solvents. Purity [Pur.1; Pur.2 >> Pur.3; ... >> ... | Pur.4 >> … | Pur.5 | ... ],,What is the Add Lay Front Deposition Solvents Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ],
202,Add. Lay. Front. Deposition. Reaction solutions. Compounds [C1; C2 >> C3; … >> … | C4; C5 | C6 | ...],,What is the Add Lay Front Deposition Reaction solutions Compounds? Format of answer: [C1; C2 >> C3; … >> … | C4; C5 | C6 | ],
203,Add. Lay. Front. Deposition. Reaction solutions. Compounds. Supplier [Sup.1; Sup.2 >> Sup.3; ... >> ... | Sup.4 >> … | Sup.5 | ... ],,What is the Add Lay Front Deposition Reaction solutions Compounds Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ],
204,Add. Lay. Front. Deposition. Reaction solutions. Compounds. Purity [Pur.1; Pur.2 >> Pur.3; ... >> ... | Pur.4 >> … | Pur.5 | ... ],,What is the Add Lay Front Deposition Reaction solutions Compounds Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ],
205,Add. Lay. Front. Deposition. Reaction solutions. Concentrations [c1 M; c2 mol/dm3 >> c3 mg/ml; … >> ... | c4 wt%; c5 vol% | c6 ppm |...],,What is the Add Lay Front Deposition Reaction solutions Concentrations? Format of answer: [c1 M; c2 mol/dm3 >> c3 mg/ml; … >>  | c4 wt%; c5 vol% | c6 ppm |],
206,Add. Lay. Front. Deposition. Reaction solutions. Volumes [V1 >> V2 >> ... | V3 >> … | V4 | ... ] [ml],,What is the Add Lay Front Deposition Reaction solutions Volumes? Format of answer: [V1 >> V2 >>  | V3 >> … | V4 |  ],
207,Add. Lay. Front. Deposition. Reaction solutions. Age [A1 >> A2 >> ... | A3 >> … | A4 | ... ] [h],,What is the Add Lay Front Deposition Reaction solutions Age? Format of answer: [A1 >> A2 >>  | A3 >> … | A4 |  ],
208,Add. Lay. Front. Deposition. Reaction solutions. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,What is the Add Lay Front Deposition Reaction solutions Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ],
209,Add. Lay. Front. Deposition. Substrate. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,What is the Add Lay Front Deposition Substrate Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ],
210,Add. Lay. Front. Deposition. Thermal annealing. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,What is the Add Lay Front Deposition Thermal annealing Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ],
211,Add. Lay. Front. Deposition. Thermal annealing. Time [t1; t2 >> t3; ... >> ... | t4 >> … | t5 | ... ] [min],,What is the Add Lay Front Deposition Thermal annealing Time? Format of answer: [t1; t2 >> t3;  >>  | t4 >> … | t5 |  ],
212,Add. Lay. Front. Deposition. Thermal annealing. Atmosphere [Gas1; Gas2 >> Gas3; ... >> ... | Gas4 >> … | Gas5 | ... ],,What is the Add Lay Front Deposition Thermal annealing Atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ],
213,Add. Lay. Front. Storage. Time until next deposition step [h],,What is the Add Lay Front Storage Time until next deposition step? Format of answer: [h],
214,Add. Lay. Front. Storage. Atmosphere [Gas1; Gas2; ...],,What is the Add Lay Front Storage Atmosphere? Format of answer: [Gas1; Gas2; ],
215,Add. Lay. Front. Storage. Relative humidity [%] ,,What is the Add Lay Front Storage Relative humidity? Format of answer: [%]],
216,Add. Lay. Front. Surface treatment before next deposition step,,What is the Add Lay Front Surface treatment before next deposition step,
217,Add. Lay. Back [TRUE/FALSE],Add_lay_back,"What is the Add Lay Back? Format of answer: [TRUE/FALSE], Example:""False""",False
218,Add. Lay. Back. Function [A.R.C./Upconversion/Down conversion/Back reflection/ ...],,What is the Add Lay Back Function? Format of answer: [ARC/Upconversion/Down conversion/Back reflection/ ],
219,Add. Lay. Back. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...],,What is the Add Lay Back Stack sequence? Format of answer: [Mat1; Mat2;  | Mat3;  | Mat4 | ],
220,Add. Lay. Back. Thickness. List [Th.1 | Th.2 | … | Th.n ] [nm],,What is the Add Lay Back Thickness List? Format of answer: [Th1 | Th2 | … | Thn ],
221,Add. Lay. Back. Additives. Compounds [Addt.1; Addt.2; ... | Addt.3; … | Addt.4 | ... ],,What is the Add Lay Back Additives Compounds? Format of answer: [Addt1; Addt2;  | Addt3; … | Addt4 |  ],
222,Add. Lay. Back. Additives. Concentrations [c1 M; c2 wt%; … | c3 vol%; ... | c4 mg/ml | ...],,What is the Add Lay Back Additives Concentrations? Format of answer: [c1 M; c2 wt%; … | c3 vol%;  | c4 mg/ml | ],
223,Add. Lay. Back. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> … | Proc. 4 | ... ],,What is the Add Lay Back Deposition Procedure? Format of answer: [Proc 1 >> Proc 2 >>  | Proc 3 >> … | Proc 4 |  ],
224,Add. Lay. Back. Deposition. Aggregation state of reactants (Liquid/Gas/Solid) [Agr. 1 >> Agr. 2 >> ... | Agr. 3 >> … | Agr. 4 | ... ],,What is the Add Lay Back Deposition Aggregation state of reactants (Liquid/Gas/Solid)? Format of answer: [Agr 1 >> Agr 2 >>  | Agr 3 >> … | Agr 4 |  ],
